_excel_row,Id,nomeMunicipio,nomePrograma,nomeFuncao,nomeSubFuncao,nomeAcaoOrcamentaria,Area Tematica LLM,Gasto E ou NE LLM,Confianca,Justificativa,Campos faltantes ou duvidas,Requer revisao humana
82,24215758,Alvorada,"CULTURA, ESPORTE E LAZER",CULTURA,DIFUSAO CULTURAL,GESTAO DA SECRETARIA MUNICIPAL DE CULTURA,nao se aplica,-,Alta,"Gestao geral da secretaria de cultura nao explicita acao de brincar, cultura ou lazer voltada a criancas de 0 a 6 anos; area possui regra restritiva para despesas-meio.",,Nao
83,24215759,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO FUNDAMENTAL,MANUTENCAO DAS ATIVIDADES DO ENSINO FUNDAMENTAL - FUNDEB 30%,nao se aplica,-,Alta,"Manutencao do ensino fundamental nao corresponde a educacao infantil e nao explicita beneficio ao publico de 0 a 6 anos.",,Nao
84,24215762,Alvorada,GARANTIA DOS DIREITOS DAS MULHERES,DIREITOS DA CIDADANIA,ASSISTENCIA COMUNITARIA,GESTAO DA SECRETARIA MUNICIPAL DE POLITICAS PARA MULHERES,Protecao dos Direitos da Crianca e da Familia,Nao Especifico,Media,"Padrao aprovado no piloto: politicas para mulheres podem beneficiar gestantes, lactantes e familias de forma ampliada, embora a linha nao explicite primeira infancia.","Confirmar se a secretaria executa acoes com gestantes, lactantes ou familias com primeira infancia.",Sim
85,24216178,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DO PROGRAMA DE AGENTE COMUNITARIO EM SAUDE (ACS),Saude Materno-infantil,Nao Especifico,Alta,"Agentes comunitarios de saude integram a atencao basica e alcancam familias, gestantes e criancas pequenas de forma ampliada.",,Nao
86,24216180,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ALIMENTACAO E NUTRICAO,MANUTENCAO DA ALIMENTACAO ESCOLAR,Educacao Infantil,Nao Especifico,Media,"Padrao aprovado no lote 003: alimentacao escolar pode abranger educacao infantil, mas a linha nao explicita etapa infantil nem exclusividade.","Confirmar se a alimentacao escolar abrange a educacao infantil no municipio.",Sim
87,24216166,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DO PROGRAMA ESTRATEGIA SAUDE DA FAMILIA,Saude Materno-infantil,Nao Especifico,Alta,"Estrategia Saude da Familia integra atencao basica e beneficia criancas pequenas, gestantes e familias de forma ampliada.",,Nao
88,24216169,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DOS SERVICOS DE SAUDE BUCAL,Saude Materno-infantil,Nao Especifico,Alta,"Saude bucal em atencao basica integra o escopo de saude materno-infantil e beneficia tambem criancas pequenas de forma ampliada.",,Nao
89,24216171,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ADMINISTRACAO GERAL,MANUTENCAO DO FUNDO MUNICIPAL DE EDUCACAO - FME,Educacao Infantil,Nao Especifico,Media,"Padrao aprovado no piloto para FME em administracao geral: despesa-meio de educacao pode sustentar politicas de educacao infantil, mas a linha nao explicita etapa infantil.","Confirmar se a regra local para FME em administracao geral deve continuar sendo aplicada.",Sim
90,24216172,Alvorada,MEIO AMBIENTE,GESTAO AMBIENTAL,SERVICOS URBANOS,MANUTENCAO DOS SERVICOS DE LIMPEZA PUBLICA,Saneamento e Agua,Nao Especifico,Media,"Limpeza publica se relaciona a limpeza urbana e manejo de residuos, subarea de saneamento e agua, beneficiando a populacao de forma ampliada; a funcao ambiental torna o enquadramento menos direto.","Confirmar se limpeza publica em gestao ambiental deve seguir o padrao de saneamento e residuos.",Sim
91,24216149,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,TRANSPORTE RODOVIARIO,MANUTENCAO DO TRANSPORTE ESCOLAR,Educacao Infantil,Nao Especifico,Media,"Padrao do lote 004: transporte escolar em programa de educacao pode beneficiar alunos da educacao infantil, mas a linha nao explicita etapa ou exclusividade.","Confirmar se o transporte escolar abrange a educacao infantil.",Sim
