_excel_row,Id,nomeMunicipio,nomePrograma,nomeFuncao,nomeSubFuncao,nomeAcaoOrcamentaria,Area Tematica,Gasto E ou NE
22,24215945,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,VIGILANCIA SANITARIA,REALIZACAO DAS ACOES DE VIGILANCIA SANITARIA,,
23,24215957,Alvorada,ACAO LEGISLATIVA,LEGISLATIVA,ACAO LEGISLATIVA,MANUTENCAO DE ATIVIDADE ADMINISTRATIVA DA CAMARA MUNICIPAL,,
24,24215962,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA A ASSISTENCIA SOCIAL (CRAS),,
25,24215978,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DO PROGRAMA DE AGENTE COMUNITARIO EM SAUDE (ACS),,
26,24215993,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,VIGILANCIA SANITARIA,REALIZACAO DAS ACOES DE VIGILANCIA SANITARIA,,
27,24215989,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO FUNDAMENTAL,REMUNERACAO DE PROFISSIONAL DA EDUCACAO - ENSINO FUNDAMENTAL - FUNDEB 30%,,
28,24216002,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,PLANEJAMENTO E ORCAMENTO,GESTAO DA SECRETARIA MUNICIPAL DE PLANEJAMENTO,,
29,24215893,Alvorada,ACAO LEGISLATIVA,LEGISLATIVA,ACAO LEGISLATIVA,MANUTENCAO DE ATIVIDADE ADMINISTRATIVA DA CAMARA MUNICIPAL,,
30,24215765,Alvorada,ACAO LEGISLATIVA,LEGISLATIVA,ACAO LEGISLATIVA,MANUTENCAO DE ATIVIDADE ADMINISTRATIVA DA CAMARA MUNICIPAL,,
31,24216113,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,TECNOLOGIA DA INFORMACAO,"MANUTENCAO DA SECRETARIA DE COMUNICACAO, CIENCIA, TECNOLOGIA E INOVACAO",,
32,24216106,Alvorada,INFRAESTRUTURA E DESENVOLVIMENTO SUSTENTAVEL,URBANISMO,INFRAESTRUTURA URBANA,AQUISICAO MAQUINA E VEICULO,,
33,24216141,Alvorada,GOVERNO E CIDADAO,ADMINISTRACAO,TRANSPORTE RODOVIARIO,AQUISICAO DE VEICULO,,
34,24216145,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO FUNDAMENTAL,REAPARELHAMENTO DE UNIDADES DE ENSINO FUNDAMENTAL,,
35,24216133,Alvorada,INFRAESTRUTURA E DESENVOLVIMENTO SUSTENTAVEL,ADMINISTRACAO,ADMINISTRACAO GERAL,CONSTRUCAO DO TERMINAL DE ENERGIA FOTOVOLTAICA EM PREDIOS PUBLICOS,,
36,24216134,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ADMINISTRACAO GERAL,CONSTRUCAO DO TERMINAL DE ENERGIA FOTOVOLTAICA EM PREDIOS PUBLICOS - FMS,,
37,24216061,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,AQUISICAO DE VEICULO PARA O FMS,,
38,24216070,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,ESTRUTURACAO/REQUALIFICACAO DE UBS - UNIDADE BASICA DE SAUDE,,
39,24216048,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO GERAL,REAPARELHAMENTO DE UNIDADE ADMINISTRATIVA,,
40,24216012,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,TECNOLOGIA DA INFORMACAO,"APARELHAMENTO/ESTRUTURACAO DA SECRETARIA MUNICIPAL DE COMUNICACAO,CIENCIA,TECNOLOGIA E INOVACAO",,
41,24216006,Alvorada,ACAO LEGISLATIVA,LEGISLATIVA,ACAO LEGISLATIVA,AQUISICAO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA CAMARA MUNICIPAL,,
