_excel_row,Id,nomeMunicipio,nomePrograma,nomeFuncao,nomeSubFuncao,nomeAcaoOrcamentaria,Area Tematica LLM,Gasto E ou NE LLM,Confianca,Justificativa,Campos faltantes ou duvidas,Requer revisao humana
102,24216053,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,REQUALIFICACAO DO CENTRO DE ATENDIMENTO DE ESPECIALIDADES - CENAE,Saude Materno-infantil,Nao Especifico,Alta,"Requalificacao de unidade/centro de atendimento em saude no contexto da atencao basica beneficia criancas pequenas, gestantes e familias de forma ampliada.",,Nao
103,24216046,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO INFANTIL,MANUTENCAO DAS ATIVIDADES DO ENSINO INFANTIL - FUNDEB 30%,Educacao Infantil,Especifico,Alta,"Ensino infantil e manutencao de atividades do ensino infantil indicam acao diretamente voltada a educacao infantil.",,Nao
104,24216128,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,VIGILANCIA SANITARIA,REALIZACAO DAS ACOES DE VIGILANCIA SANITARIA,Saude Materno-infantil,Nao Especifico,Alta,"Vigilancia sanitaria integra vigilancia em saude e beneficia a primeira infancia, gestantes e familias de forma ampliada.",,Nao
105,24216116,Alvorada,ACAO LEGISLATIVA,LEGISLATIVA,ACAO LEGISLATIVA,MANUTENCAO DE ATIVIDADE ADMINISTRATIVA DA CAMARA MUNICIPAL,nao se aplica,-,Alta,"Atividade administrativa da Camara Municipal sem finalidade ligada ao publico da primeira infancia, gestantes ou lactantes.",,Nao
106,24216108,Alvorada,"AGROPECUARIA SUSTENTAVEL, COMERCIALIZACAO E ABASTECIMENTO",AGRICULTURA,ADMINISTRACAO GERAL,MANUTENCAO DAS ATIVIDADES DA SECRETARIA MUNICIPAL DE AGRICULTURA E PECUARIA,nao se aplica,-,Alta,"Manutencao administrativa de agricultura e pecuaria sem conexao finalistica com criancas de 0 a 6 anos, gestantes ou lactantes.",,Nao
107,24216109,Alvorada,INFRAESTRUTURA E DESENVOLVIMENTO SUSTENTAVEL,URBANISMO,SERVICOS URBANOS,MANUTENCAO DA ILUMINACAO PUBLICA,nao se aplica,-,Alta,"Iluminacao publica e exclusao geral no GSPI-M quando nao ha beneficio concreto e identificavel ao publico da primeira infancia.",,Nao
108,24216102,Alvorada,PRIMEIRA INFANCIA,EDUCACAO,ENSINO INFANTIL,MANUTENCAO DO ENSINO INFANTIL (CRECHE),Educacao Infantil,Especifico,Alta,"Programa primeira infancia, ensino infantil e creche indicam acao diretamente voltada a criancas de 0 a 6 anos.",,Nao
109,24216096,Alvorada,PRIMEIRA INFANCIA,EDUCACAO,ENSINO INFANTIL,MANUTENCAO DO ENSINO INFANTIL (CRECHE),Educacao Infantil,Especifico,Alta,"Programa primeira infancia, ensino infantil e creche indicam acao diretamente voltada a educacao infantil.",,Nao
110,24216099,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ADMINISTRACAO GERAL,MANUTENCAO DO FUNDO MUNICIPAL DE EDUCACAO - FME,Educacao Infantil,Nao Especifico,Media,"Padrao aprovado para FME em administracao geral: despesa-meio de educacao pode sustentar politicas de educacao infantil, mas a linha nao explicita etapa infantil.","Confirmar se a regra local para FME em administracao geral deve continuar sendo aplicada.",Sim
111,24216086,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO FINANCEIRA,MANUTENCAO DA SECRETARIA DE ADMINISTRACAO,nao se aplica,-,Alta,"Administracao financeira/geral do municipio sem finalidade identificavel ligada ao GSPI-M.",,Nao
112,24216144,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO GERAL,CUMPRIMENTO DE PRECATORIO E SENTENCA JUDICIAL,nao se aplica,-,Alta,"Pagamento de precatorio e sentenca judicial em administracao geral nao demonstra beneficio finalistico ao publico da primeira infancia.",,Nao
113,24216080,Alvorada,GARANTIA DOS DIREITOS DAS MULHERES,DIREITOS DA CIDADANIA,ASSISTENCIA COMUNITARIA,GESTAO DA SECRETARIA MUNICIPAL DE POLITICAS PARA MULHERES,Protecao dos Direitos da Crianca e da Familia,Nao Especifico,Media,"Padrao aprovado: politicas para mulheres podem beneficiar gestantes, lactantes e familias de forma ampliada, embora a linha nao explicite primeira infancia.","Confirmar se a secretaria executa acoes com gestantes, lactantes ou familias com primeira infancia.",Sim
114,24215899,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,CONCESSAO DE BENEFICIO EVENTUAL,Assistencia Social,Nao Especifico,Alta,"Beneficio eventual em assistencia social atende familias e individuos vulneraveis, incluindo familias com criancas pequenas de forma nao exclusiva.",,Nao
115,24215994,Alvorada,"CULTURA, ESPORTE E LAZER",CULTURA,DIFUSAO CULTURAL,GESTAO DA SECRETARIA MUNICIPAL DE CULTURA,nao se aplica,-,Alta,"Gestao geral da secretaria de cultura nao explicita acao de brincar, cultura ou lazer voltada a criancas de 0 a 6 anos; area possui regra restritiva para despesas-meio.",,Nao
116,24215995,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,CONCESSAO DE BENEFICIO EVENTUAL,Assistencia Social,Nao Especifico,Alta,"Beneficio eventual integra a assistencia social e pode atender familias vulneraveis com criancas pequenas de forma ampliada.",,Nao
117,24215956,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,CONCESSAO DE BENEFICIO EVENTUAL,Assistencia Social,Nao Especifico,Alta,"Beneficio eventual em assistencia social beneficia familias vulneraveis, incluindo familias com criancas pequenas de modo nao exclusivo.",,Nao
118,24215884,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO GERAL,APOIO A ENTIDADES SEM FINS LUCRATIVO,nao se aplica,-,Alta,"Apoio generico a entidades sem fins lucrativos em administracao geral nao identifica publico-alvo nem conexao com area finalistica do GSPI-M.",,Nao
119,24215769,Alvorada,ACAO LEGISLATIVA,LEGISLATIVA,ACAO LEGISLATIVA,MANUTENCAO DE ATIVIDADE ADMINISTRATIVA DA CAMARA MUNICIPAL,nao se aplica,-,Alta,"Atividade administrativa legislativa sem beneficio direto ou indireto identificavel ao publico da primeira infancia.",,Nao
120,24215786,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA A ASSISTENCIA SOCIAL (CRAS),Assistencia Social,Nao Especifico,Alta,"CRAS integra a protecao social basica e atende familias e individuos, incluindo familias com criancas pequenas de forma ampliada.",,Nao
121,24215775,Alvorada,ASSISTENCIA SOCIAL,ADMINISTRACAO,ASSISTENCIA A CRIANCA E AO ADOLESCENTE,MANUTENCAO DO CONSELHO TUTELAR,Protecao dos Direitos da Crianca e da Familia,Nao Especifico,Media,"Conselho Tutelar atua na protecao de direitos de criancas e adolescentes, podendo incluir a primeira infancia, mas nao e exclusivo para criancas de 0 a 6 anos.","Confirmar se Conselho Tutelar deve ser tratado em protecao de direitos como gasto ampliado.",Sim
