_excel_row,Id,nomeMunicipio,nomePrograma,nomeFuncao,nomeSubFuncao,nomeAcaoOrcamentaria,Area Tematica,Gasto E ou NE
42,24216174,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,ESTRUTURACAO/REQUALIFICACAO DE UBS - UNIDADE BASICA DE SAUDE,,
43,24215772,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,TRANSPORTE RODOVIARIO,AQUISICAO DE VEICULO,,
44,24215808,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,TRANSPORTE RODOVIARIO,AQUISICAO DE VEICULO,,
45,24215796,Alvorada,PRIMEIRA INFANCIA,EDUCACAO,ENSINO INFANTIL,REAPARELHAMENTO DE UNIDADES DE EDUCACAO INFANTIL,,
46,24215794,Alvorada,INFRAESTRUTURA E DESENVOLVIMENTO SUSTENTAVEL,URBANISMO,INFRAESTRUTURA URBANA,AQUISICAO MAQUINA E VEICULO,,
47,24215856,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,APARELHAMENTO DE UNIDADE DE ASSISTENCIA SOCIAL,,
48,24215880,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO FUNDAMENTAL,REAPARELHAMENTO DE UNIDADES DE ENSINO FUNDAMENTAL,,
49,24215871,Alvorada,FOMENTO A EDUCACAO EM TEMPO INTEGRAL,EDUCACAO,ENSINO INFANTIL,MELHORIA/REQUALIFICACAO DA EDUCACAO EM TEMPO INTEGRAL,,
50,24215920,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ADMINISTRACAO GERAL,CONSTRUCAO DO TERMINAL DE ENERGIA FOTOVOLTAICA EM PREDIOS PUBLICOS - FME,,
51,24215938,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,AQUISICAO DE VEICULO PARA O FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL - FMAS,,
52,24215964,Alvorada,INFRAESTRUTURA E DESENVOLVIMENTO SUSTENTAVEL,URBANISMO,SERVICOS URBANOS,MANUTENCAO DOS SERVICOS DE INFRAESTRUTURA E TRANSPORTE,,
53,24215958,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL - CREAS,,
54,24215954,Alvorada,INFRAESTRUTURA E DESENVOLVIMENTO SUSTENTAVEL,ADMINISTRACAO,ADMINISTRACAO GERAL,MANUTENCAO DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA E TRANSPORTES,,
55,24216000,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ALIMENTACAO E NUTRICAO,MANUTENCAO DA ALIMENTACAO ESCOLAR,,
56,24216001,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DO PROGRAMA ESTRATEGIA SAUDE DA FAMILIA,,
57,24215971,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,SUPORTE PROFILATICO E TERAPEUTICO,MANUTENCAO DA ASSISTENCIA FARMACEUTICA BASICA,,
58,24215975,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DO PROGRAMA ESTRATEGIA SAUDE DA FAMILIA,,
59,24215976,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,SUPORTE PROFILATICO E TERAPEUTICO,MANUTENCAO DA ASSISTENCIA FARMACEUTICA BASICA,,
60,24215921,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ADMINISTRACAO GERAL,MANUTENCAO DO FUNDO MUNICIPAL DE SAUDE (FMS),,
61,24215924,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO FUNDAMENTAL,MANUTENCAO DO ENSINO FUNDAMENTAL,,
