_excel_row,Id,nomeMunicipio,nomePrograma,nomeFuncao,nomeSubFuncao,nomeAcaoOrcamentaria,Area Tematica LLM,Gasto E ou NE LLM,Confianca,Justificativa,Campos faltantes ou duvidas,Requer revisao humana
42,24216174,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,ESTRUTURACAO/REQUALIFICACAO DE UBS - UNIDADE BASICA DE SAUDE,Saude Materno-infantil,Nao Especifico,Alta,"UBS e atencao basica integram saude materno-infantil de forma ampliada; estruturacao ou requalificacao de unidade de saude beneficia tambem criancas pequenas, gestantes e familias.",,Nao
43,24215772,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,TRANSPORTE RODOVIARIO,AQUISICAO DE VEICULO,Educacao Infantil,Nao Especifico,Media,"Aquisicao de veiculo em programa de educacao pode apoiar transporte ou funcionamento da rede educacional que inclui educacao infantil, mas a linha nao explicita etapa, transporte escolar ou uso exclusivo.","Confirmar se o veiculo atende a rede de educacao, incluindo educacao infantil.",Sim
44,24215808,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,TRANSPORTE RODOVIARIO,AQUISICAO DE VEICULO,Educacao Infantil,Nao Especifico,Media,"Aquisicao de veiculo em programa de educacao pode apoiar transporte ou funcionamento da rede educacional que inclui educacao infantil, mas a linha nao explicita etapa, transporte escolar ou uso exclusivo.","Confirmar se o veiculo atende a rede de educacao, incluindo educacao infantil.",Sim
45,24215796,Alvorada,PRIMEIRA INFANCIA,EDUCACAO,ENSINO INFANTIL,REAPARELHAMENTO DE UNIDADES DE EDUCACAO INFANTIL,Educacao Infantil,Especifico,Alta,"Programa de primeira infancia, funcao educacao, ensino infantil e reaparelhamento de unidades de educacao infantil indicam acao diretamente voltada a criancas de 0 a 6 anos.",,Nao
46,24215794,Alvorada,INFRAESTRUTURA E DESENVOLVIMENTO SUSTENTAVEL,URBANISMO,INFRAESTRUTURA URBANA,AQUISICAO MAQUINA E VEICULO,nao se aplica,-,Alta,"Aquisicao generica de maquina e veiculo para infraestrutura urbana nao demonstra beneficio concreto ao publico da primeira infancia.",,Nao
47,24215856,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,APARELHAMENTO DE UNIDADE DE ASSISTENCIA SOCIAL,Assistencia Social,Nao Especifico,Alta,"Aparelhamento de unidade de assistencia social apoia servicos do SUAS que atendem familias e individuos, incluindo familias com criancas pequenas de forma nao exclusiva.",,Nao
48,24215880,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO FUNDAMENTAL,REAPARELHAMENTO DE UNIDADES DE ENSINO FUNDAMENTAL,nao se aplica,-,Alta,"Reaparelhamento de unidades de ensino fundamental nao corresponde a educacao infantil e nao explicita beneficio a criancas de 0 a 6 anos.",,Nao
49,24215871,Alvorada,FOMENTO A EDUCACAO EM TEMPO INTEGRAL,EDUCACAO,ENSINO INFANTIL,MELHORIA/REQUALIFICACAO DA EDUCACAO EM TEMPO INTEGRAL,Educacao Infantil,Especifico,Alta,"Subfuncao ensino infantil e acao de melhoria/requalificacao da educacao em tempo integral indicam beneficio direto a educacao infantil.",,Nao
50,24215920,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ADMINISTRACAO GERAL,CONSTRUCAO DO TERMINAL DE ENERGIA FOTOVOLTAICA EM PREDIOS PUBLICOS - FME,Educacao Infantil,Nao Especifico,Media,"Despesa-meio vinculada ao FME pode sustentar infraestrutura educacional que inclui educacao infantil, seguindo o padrao aprovado para despesas-meio; o objeto de energia fotovoltaica e indireto e nao explicita unidade de educacao infantil.","Confirmar se os predios publicos atendidos incluem unidades ou gestao da educacao infantil.",Sim
51,24215938,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,AQUISICAO DE VEICULO PARA O FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL - FMAS,Assistencia Social,Nao Especifico,Alta,"Aquisicao de veiculo para o FMAS apoia a politica de assistencia social, que atende familias vulneraveis incluindo familias com criancas pequenas de forma ampliada.",,Nao
