_excel_row,Id,nomeMunicipio,nomePrograma,nomeFuncao,nomeSubFuncao,nomeAcaoOrcamentaria,Area Tematica,Gasto E ou NE
62,24215917,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL - CREAS,,
63,24215919,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,TECNOLOGIA DA INFORMACAO,"MANUTENCAO DA SECRETARIA DE COMUNICACAO, CIENCIA, TECNOLOGIA E INOVACAO",,
64,24215876,Alvorada,MEIO AMBIENTE,GESTAO AMBIENTAL,PRESERVACAO E CONSERVACAO AMBIENTAL,MANUTENCAO DA SECRETARIA MUNICIPAL DE MEIO AMBIENTE,,
65,24215861,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO FUNDAMENTAL,MANUTENCAO DO ENSINO FUNDAMENTAL,,
66,24215894,Alvorada,"CULTURA, ESPORTE E LAZER",CULTURA,ADMINISTRACAO GERAL,"MANUTENCAO DA SECRETARIA MUNICIPAL DE DESPORTO, LAZER E TURISMO",,
67,24215888,Alvorada,GOVERNO E CIDADAO,ADMINISTRACAO,ENSINO SUPERIOR,MANUTENCAO DO ENSINO SUPERIOR,,
68,24215853,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA A ASSISTENCIA SOCIAL (CRAS),,
69,24215843,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,TRANSPORTE RODOVIARIO,MANUTENCAO DO TRANSPORTE ESCOLAR - FUNDEB 30%,,
70,24215846,Alvorada,"CULTURA, ESPORTE E LAZER",DESPORTO E LAZER,DESPORTO COMUNITARIO,MANUTENCAO DO PROGRAMA DE INCENTIVO AO ESPORTE,,
71,24215848,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO GERAL,REALIZACAO DE ACOES COMEMORATIVAS E EVENTOS CIVICOS,,
72,24215825,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,TRANSPORTE RODOVIARIO,MANUTENCAO DO TRANSPORTE ESCOLAR,,
73,24215829,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DO PROGRAMA DE AGENTE COMUNITARIO EM SAUDE (ACS),,
74,24215831,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,CONCESSAO DE BENEFICIO EVENTUAL,,
75,24215833,Alvorada,PRIMEIRA INFANCIA,EDUCACAO,ENSINO INFANTIL,MANUTENCAO DO ENSINO INFANTIL (PRE ESCOLA),,
76,24215839,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL (FMAS),,
77,24215804,Alvorada,MEIO AMBIENTE,GESTAO AMBIENTAL,PRESERVACAO E CONSERVACAO AMBIENTAL,MANUTENCAO DO ATERRO SANITARIO,,
78,24215800,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL - CREAS,,
79,24215789,Alvorada,"AGROPECUARIA SUSTENTAVEL, COMERCIALIZACAO E ABASTECIMENTO",AGRICULTURA,EXTENSAO RURAL,"MANUTENCAO, RECUPERACAO E ADEQUACAO DE ESTRADA VICINAL",,
80,24215766,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO FUNDAMENTAL,MANUTENCAO DO ENSINO FUNDAMENTAL,,
81,24215771,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ADMINISTRACAO GERAL,MANUTENCAO DO FUNDO MUNICIPAL DE SAUDE (FMS),,
