_excel_row,Id,nomeMunicipio,nomePrograma,nomeFuncao,nomeSubFuncao,nomeAcaoOrcamentaria,Area Tematica,Gasto E ou NE
82,24215758,Alvorada,"CULTURA, ESPORTE E LAZER",CULTURA,DIFUSAO CULTURAL,GESTAO DA SECRETARIA MUNICIPAL DE CULTURA,,
83,24215759,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO FUNDAMENTAL,MANUTENCAO DAS ATIVIDADES DO ENSINO FUNDAMENTAL - FUNDEB 30%,,
84,24215762,Alvorada,GARANTIA DOS DIREITOS DAS MULHERES,DIREITOS DA CIDADANIA,ASSISTENCIA COMUNITARIA,GESTAO DA SECRETARIA MUNICIPAL DE POLITICAS PARA MULHERES,,
85,24216178,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DO PROGRAMA DE AGENTE COMUNITARIO EM SAUDE (ACS),,
86,24216180,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ALIMENTACAO E NUTRICAO,MANUTENCAO DA ALIMENTACAO ESCOLAR,,
87,24216166,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DO PROGRAMA ESTRATEGIA SAUDE DA FAMILIA,,
88,24216169,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DOS SERVICOS DE SAUDE BUCAL,,
89,24216171,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ADMINISTRACAO GERAL,MANUTENCAO DO FUNDO MUNICIPAL DE EDUCACAO - FME,,
90,24216172,Alvorada,MEIO AMBIENTE,GESTAO AMBIENTAL,SERVICOS URBANOS,MANUTENCAO DOS SERVICOS DE LIMPEZA PUBLICA,,
91,24216149,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,TRANSPORTE RODOVIARIO,MANUTENCAO DO TRANSPORTE ESCOLAR,,
92,24216182,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO GERAL,MANUTENCAO DAS ATIVIDADES DO GABINETE DO PREFEITO,,
93,24216188,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,PLANEJAMENTO E ORCAMENTO,GESTAO DA SECRETARIA MUNICIPAL DE PLANEJAMENTO,,
94,24216004,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA A ASSISTENCIA SOCIAL (CRAS),,
95,24216011,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DOS SERVICOS DE SAUDE BUCAL,,
96,24216013,Alvorada,PRIMEIRA INFANCIA,EDUCACAO,ENSINO INFANTIL,MANUTENCAO DO ENSINO INFANTIL (PRE ESCOLA),,
97,24216018,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO FINANCEIRA,GESTAO DA SECRETARIA MUNICIPAL DE FINANCAS (SEFIN),,
98,24216036,Alvorada,INFRAESTRUTURA E DESENVOLVIMENTO SUSTENTAVEL,URBANISMO,SERVICOS URBANOS,MANUTENCAO DA ILUMINACAO PUBLICA,,
99,24216021,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO INFANTIL,MANUTENCAO DAS ATIVIDADES DO ENSINO INFANTIL (CRECHE) - FUNDEB 30%,,
100,24216028,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA A ASSISTENCIA SOCIAL (CRAS),,
101,24216051,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,VIGILANCIA EPIDEMIOLOGICA,REALIZACAO DAS ACOES DE VIGILANCIA EM SAUDE,,
